ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
form-254,waya1269,war,urinumtop,,,camargo2010wayana
form-255,waya1269,rwildcat,marakaja,,,rodrigues1985evidence
form-256,waya1269,wildcat,marakaja,,,camargo2010wayana
form-257,waya1269,rxanthosoma,taja,,,rodrigues1985evidence
form-258,waya1270,bow,wɨlapama,,,grenand2021wayampi
form-259,waya1270,cockroach,alawɛ,,,grenand2021wayampi
form-260,waya1270,corn,fat,,,grenand2021wayampi
form-261,waya1270,rgardenhouse,tapuina,,,grenand2021wayampi
form-262,waya1270,jaguar,jawa,,,grenand2021wayampi
form-263,waya1270,sea,palana,,,grenand2021wayampi
form-264,waya1270,war,wanini,,,grenand2021wayampi
form-265,waya1270,wildcat,malakaja,,,grenand2021wayampi
form-266,wayu1242,rbow,uhara,,,rodrigues1985evidence
form-267,yaba1248,rturtle,waraara,,,rodrigues1985evidence
form-268,yaba1248,rwar,ualini,,,rodrigues1985evidence
form-269,yukp1241,cockroach,kʂe,,,largo2011yukpa
form-270,tupa1250,21,op,,,rodrigues1985evidence
form-271,tupi1276,father,up,,,meiraetal2015summary
way-fat,waya1269,25,kap-hak,,,rodrigues1985evidence
form-273,hixk1239,leaf,arɨ,,,hixkaryanaderby1979
form-274,tupi1273,33,pɨta,,,rodrigues1985evidence
form-275,tupa1250,33,sito,,,rodrigues1985evidence
pc-heel,cari1283,sole,pɨta,,,gildea2007greenberg
ptg-heel,tupi1276,heel,pɨta,,,mello2000ptg
form-278,mund1330,33,ida,,,rodrigues1985evidence
form-279,hixk1239,33,ɨhta,,,rodrigues1985evidence
form-280,hixk1239,33,ɨhta-kmarunu,,,rodrigues1985evidence
form-281,waiw1244,33,hta,,,rodrigues1985evidence
form-282,pemo1248,33,pɨta,,,rodrigues1985evidence
form-283,waya1269,33,pta,,,rodrigues1985evidence
form-284,waya1269,33,pta-pu,,,rodrigues1985evidence
form-285,kuik1246,33,uta-pɨ,,,rodrigues1985evidence
form-286,tupi1273,34,ɨβɨ,,,rodrigues1985evidence
form-287,tupi1273,34,ɨβɨ-tɨr,,,rodrigues1985evidence
form-288,tupi1276,earth,ɨβɨ,,,mello2000ptg
form-289,mund1330,34,ipi,,,rodrigues1985evidence
form-290,hixk1239,34,ɨhɨ,,,rodrigues1985evidence
form-291,apal1257,34,ɨpɨ,,,rodrigues1985evidence
form-292,baka1277,34,ɨwɨ,,,rodrigues1985evidence
form-293,kuik1246,34,uu,,,rodrigues1985evidence
form-294,waya1269,34,ɨpɨ,,,rodrigues1985evidence[383]; camargo2010wayana[43]
form-295,gali1262,34,wɨɨpɨ,,,rodrigues1985evidence
form-296,cari1283,mountain,(w)ɨpɨ,,,gildea2007greenberg
form-297,isla1278,34,wébo,,,rodrigues1985evidence
form-298,tupi1273,46,mirĩ,,,rodrigues1985evidence
form-299,tupa1250,46,ʔiri,,,rodrigues1985evidence
form-300,baka1277,46,i-meri,,,rodrigues1985evidence
mac-small,macu1259,46,miri-kɨ,,,rodrigues1985evidence
form-302,macu1259,small,siʔmirikɨ,,,cunha2004macushi
